20 20 158
1 1 2
2 1 1
3 1 1
5 1 1
9 1 1
17 1 1
1 2 1
2 2 3
3 2 1
4 2 1
6 2 1
10 2 1
18 2 1
1 3 1
2 3 1
3 3 5
4 3 1
5 3 1
7 3 1
11 3 1
19 3 1
2 4 1
3 4 1
4 4 7
5 4 1
6 4 1
8 4 1
12 4 1
20 4 1
1 5 1
3 5 1
4 5 1
5 5 11
6 5 1
7 5 1
9 5 1
13 5 1
2 6 1
4 6 1
5 6 1
6 6 13
7 6 1
8 6 1
10 6 1
14 6 1
3 7 1
5 7 1
6 7 1
7 7 17
8 7 1
9 7 1
11 7 1
15 7 1
4 8 1
6 8 1
7 8 1
8 8 19
9 8 1
10 8 1
12 8 1
16 8 1
1 9 1
5 9 1
7 9 1
8 9 1
9 9 23
10 9 1
11 9 1
13 9 1
17 9 1
2 10 1
6 10 1
8 10 1
9 10 1
10 10 29
11 10 1
12 10 1
14 10 1
18 10 1
3 11 1
7 11 1
9 11 1
10 11 1
11 11 31
12 11 1
13 11 1
15 11 1
19 11 1
4 12 1
8 12 1
10 12 1
11 12 1
12 12 37
13 12 1
14 12 1
16 12 1
20 12 1
5 13 1
9 13 1
11 13 1
12 13 1
13 13 41
14 13 1
15 13 1
17 13 1
6 14 1
10 14 1
12 14 1
13 14 1
14 14 43
15 14 1
16 14 1
18 14 1
7 15 1
11 15 1
13 15 1
14 15 1
15 15 47
16 15 1
17 15 1
19 15 1
8 16 1
12 16 1
14 16 1
15 16 1
16 16 53
17 16 1
18 16 1
20 16 1
1 17 1
9 17 1
13 17 1
15 17 1
16 17 1
17 17 59
18 17 1
19 17 1
2 18 1
10 18 1
14 18 1
16 18 1
17 18 1
18 18 61
19 18 1
20 18 1
3 19 1
11 19 1
15 19 1
17 19 1
18 19 1
19 19 67
20 19 1
4 20 1
12 20 1
16 20 1
18 20 1
19 20 1
20 20 71
